Rank	Player	Pos	Us_Pos	ECR_Pos	ESPN_Pos	Tier	Team	Bye	Age	Exp	Ht	Wt	40yd	OurValue$	vsECR	ProjPts	2025Pts	2025Gms	ECR	ECR_Best	ECR_Worst	ESPN_Rank	ESPN_ADP	Rostered%	SleeperBuzz	Depth	Latest News	NewsURL
219	Ty Simpson	QB	QB41	QB41	QB41	QB-T9	LAR	11	23.7	R	6'2"	208		1	125	56.0			343.53	294	382	476	170.0	8			2026 NFL rookie grades: How Fernando Mendoza; Ty Simpson and every first-round pick performed in preseason (rss:cbs)	https://www.cbssports.com/nfl/news/2026-nfl-rookie-grades-first-round-picks-preseason/
220	Ja'Kobi Lane	WR	WR82	WR82	WR72	WR-T12	BAL	13	22.1	R	6'4"	208	4.47	1	3	55.9			222.62	140	326	270	168.8	22			The NFL Rookie Progress Report: How all 257 draft picks are faring with their new teams (rss:espn)	https://www.espn.com/nfl/story/_/id/49717208/nfl-rookie-2026-nfl-draft-training-camp-preseason-257-picks-report-cards
221	Kimani Vidal	RB	RB60	RB60	RB60	RB-T11	LAC	7	25.0	3	5'8"	215	4.46	1	-20	55.8	101.9	13	201.17	157	317	306	171.0	6				
222	Cooper Kupp	WR	WR83	WR83	WR82	WR-T12	SEA	11	33.2	10	6'2"	207	4.62	1	1	54.9	67.3	16	222.96	142	289	322	169.3	15				
223	Rashod Bateman	WR	WR84	WR84	WR68	WR-T12	BAL	13	26.8	6	6'1"	193	4.39	1	3	54.4	34.4	13	226.05	150	327	213	171.4	7				
224	Kenyon Sadiq	TE	TE27	TE27	TE18	TE-T9	NYJ	13	21.5	R	6'3"	241	4.39	1	-1	54.1			222.64	138	375	148	163.9	51	DROP			
225	Germie Bernard	WR	WR85	WR85	WR75	WR-T12	PIT	9	22.7	R	6'1"	206	4.48	1	8	53.6			233.44	166	328	287	171.3	12				
226	Sean Tucker	RB	RB61	RB61	RB75	RB-T11	TB	10	24.9	4	5'10"	205		1	-21	52.7	83.4	17	204.71	148	337	350	170.3	10				
227	Antonio Williams	WR	WR86	WR86	WR90	WR-T12	WAS	7	22.1	R	5'11"	190	4.41	1	7	52.7			233.94	136	362	333	170.4	16				
228	Zachariah Branch	WR	WR87	WR87	WR78	WR-T12	ATL	11	22.4	R	5'10"	180	4.35	1	7	52.1			235.11	160	316	300	170.8	17				
